0,100,0,False,0,0,0,0,0
1,100,0,False,-19,30,0,0,-25
2,100,0,True,-22.60001,39.99989,10.8,0,-48.19978
3,100,0,True,-22.60001,22.99997,2.8,0,-25.8
4,100,0,True,-22.60001,-5.000076,6.799996,0,-3.39994
5,100,0,True,-96.39907,-5.000076,6.799996,0,-3.39994
6,100,0,True,-157.8004,-5.000076,6.799996,0,-3.39994
7,100,0,True,-213.6038,-5.000076,6.799996,0,-3.39994
8,100,0,True,-213.6038,23.39997,12.80001,0,-39.59991
9,100,0,False,-210.2036,21.79997,21.40005,0,-52.19972
12,100,0,False,-258.6065,-1.200078,-0.1999999,-2.2,-5.999938
13,100,0,False,-327.2107,-1.200078,-0.1999999,-2.2,-5.999938
